S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,630000,-,614,Strata,06 to 10,1027,Feb-17
2,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,680000,-,818,Strata,01 to 05,831,Dec-16
3,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,608000,-,667,Strata,01 to 05,911,Dec-16
4,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,635000,-,667,Strata,06 to 10,951,Dec-16
5,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,595000,-,592,Strata,06 to 10,1005,Dec-16
6,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,629000,-,624,Strata,06 to 10,1008,Dec-16
7,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,650000,-,732,Strata,06 to 10,888,Dec-16
8,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,615000,-,614,Strata,06 to 10,1002,Dec-16
9,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,609000,-,614,Strata,06 to 10,993,Nov-16
10,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,635000,-,614,Strata,06 to 10,1035,Nov-16
11,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,619000,-,710,Strata,01 to 05,871,Nov-16
12,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,630000,-,710,Strata,01 to 05,887,Nov-16
13,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,630000,-,614,Strata,06 to 10,1027,Nov-16
14,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,648000,-,635,Strata,06 to 10,1020,Nov-16
15,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,612000,-,624,Strata,06 to 10,980,Nov-16
16,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,638000,-,710,Strata,01 to 05,898,Nov-16
17,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,620000,-,710,Strata,01 to 05,873,Nov-16
18,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,615000,-,667,Strata,06 to 10,922,Nov-16
19,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,629000,-,624,Strata,06 to 10,1008,Nov-16
20,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,638000,-,710,Strata,01 to 05,898,Nov-16
21,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,618000,-,710,Strata,01 to 05,870,Nov-16
22,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,628700,-,614,Strata,06 to 10,1025,Nov-16
23,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,624000,-,624,Strata,06 to 10,1000,Nov-16
24,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,729000,-,624,Strata,01 to 05,1168,Jul-16
25,# 1 LOFT,LORONG 24 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,1100000,-,1001,Strata,06 to 10,1099,Jun-16
26,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,745851,-,624,Strata,06 to 10,1195,May-16
27,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,748752,-,624,Strata,01 to 05,1199,May-16
28,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,707000,-,614,Strata,01 to 05,1152,May-16
29,# 1 LOFT,LORONG 24 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,970000,-,936,Strata,01 to 05,1036,Jan-16
30,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,748851,-,624,Strata,06 to 10,1199,Dec-15
